scope,item_key,item_id,item_name,quality,added_at,last_velocity,is_active
,,5669,,,2026-08-06T07:29:22Z,,1
,,12543,,,2026-08-06T07:29:22Z,,1
,,30378,,,2026-08-06T07:29:22Z,,1
,,13114,,,2026-08-06T07:29:22Z,,1
,,44162,,,2026-08-06T07:29:22Z,,1
,,39484,,,2026-08-06T07:29:22Z,,1
,,49220,,,2026-08-06T07:29:22Z,,1
,,43961,,,2026-08-06T07:29:22Z,,1
,,48096,,,2026-08-06T07:29:22Z,,1
,,10,,,2026-08-06T07:29:22Z,,1
,,36237,,,2026-08-06T07:29:22Z,,1
,,46063,,,2026-08-06T07:29:22Z,,1
,,18203,,,2026-08-06T07:29:22Z,,1
,,44179,,,2026-08-06T07:29:22Z,,1
,,50455,,,2026-08-06T07:29:22Z,,1
,,13708,,,2026-08-06T07:29:22Z,,1
,,49830,,,2026-08-06T07:29:22Z,,1
,,37360,,,2026-08-06T07:29:22Z,,1
,,43984,,,2026-08-06T07:29:22Z,,1
,,15834,,,2026-08-06T07:29:22Z,,1
,,23002,,,2026-08-06T07:29:22Z,,1
,,49295,,,2026-08-06T07:29:22Z,,1
,,50971,,,2026-08-06T07:29:22Z,,1
,,24224,,,2026-08-06T07:29:22Z,,1
,,50972,,,2026-08-06T07:29:22Z,,1
,,5678,,,2026-08-06T07:29:22Z,,1
,,46246,,,2026-08-06T07:29:22Z,,1
,,7970,,,2026-08-06T07:29:22Z,,1
,,49320,,,2026-08-06T07:29:22Z,,1
,,44004,,,2026-08-06T07:29:22Z,,1
,,16751,,,2026-08-06T07:29:22Z,,1
,,10373,,,2026-08-06T07:29:22Z,,1
,,33038,,,2026-08-06T07:29:22Z,,1
,,46857,,,2026-08-06T07:29:22Z,,1
,,43851,,,2026-08-06T07:29:22Z,,1
,,5484,,,2026-08-06T07:29:22Z,,1
,,49286,,,2026-08-06T07:29:22Z,,1
,,19940,,,2026-08-06T07:29:22Z,,1
